"","date","mean_Temp","mean_Precipi","mean_Wind","mean_Snow","median_Temp","median_Precipi","median_Wind","median_Snow","max_Temp","max_Precipi","max_Wind","max_Snow"
"93","20170403",11.1416666666667,NA,2.04583333333333,NA,11.3,NA,1.85,NA,19,NA,4.6,NA
"94","20170404",13.6666666666667,NA,1.96666666666667,NA,14.15,NA,1.65,NA,21.4,NA,4.1,NA
"95","20170405",12.075,1.85294117647059,2.47083333333333,NA,11.9,2,2.6,NA,14.1,NA,4.4,NA
"96","20170406",10.6875,0.692307692307692,2.5,NA,10.55,0,2.7,NA,12.4,NA,3.9,NA
"97","20170407",14.2958333333333,NA,2.00416666666667,NA,13.8,NA,1.85,NA,23,NA,4.2,NA
"98","20170408",13.1166666666667,0.2,2.45416666666667,NA,12.2,0.2,2.5,NA,19.5,NA,4,NA
"99","20170409",14.6666666666667,0.133333333333333,2.89583333333333,NA,14.05,0.05,3.4,NA,20.5,NA,5.6,NA
"100","20170410",16.2916666666667,NA,2.72916666666667,NA,16.45,NA,2.8,NA,23,NA,4.3,NA
"101","20170411",15.5666666666667,NA,3.27083333333333,NA,14.55,NA,3.35,NA,19.9,NA,6,NA
"102","20170412",11.7208333333333,NA,3.65833333333333,NA,11,NA,3.65,NA,15.9,NA,6.7,NA
"103","20170413",12.3166666666667,0,2.53333333333333,NA,13,0,2.15,NA,19.1,NA,4.9,NA
"104","20170414",12.8833333333333,1,3.4875,NA,12.45,0.25,3.25,NA,17.3,NA,7.7,NA
"105","20170415",16.4,NA,2.175,NA,16.55,NA,1.95,NA,24.2,NA,4.5,NA
"106","20170416",18.4791666666667,NA,1.34090909090909,NA,19.55,NA,1.1,NA,23.9,NA,NA,NA
"107","20170417",15.3583333333333,0.785714285714286,2.21666666666667,NA,16.05,0.5,1.85,NA,17.9,NA,5,NA
"108","20170418",11.7541666666667,1.875,2.4125,NA,11.2,1.75,2.75,NA,17.2,NA,4.8,NA
"109","20170419",12.3583333333333,NA,2.75833333333333,NA,12.15,NA,2.95,NA,18.2,NA,6.3,NA
"110","20170420",13.0166666666667,0.1,2.4125,NA,11.95,0.1,2.15,NA,18.1,NA,4.3,NA
"111","20170421",12.9041666666667,NA,1.91666666666667,NA,12.5,NA,1.75,NA,18.8,NA,4.2,NA
"112","20170422",14.55,NA,1.98333333333333,NA,13.95,NA,1.75,NA,22.3,NA,4.7,NA
"113","20170423",14.8791666666667,NA,2.58333333333333,NA,14.1,NA,1.95,NA,21.1,NA,6,NA
"114","20170424",14.9458333333333,NA,2.48636363636364,NA,14.75,NA,2.1,NA,21.1,NA,NA,NA
"115","20170425",16.0791666666667,NA,2.81904761904762,NA,15.15,NA,3.2,NA,20.3,NA,NA,NA
"116","20170426",15.2041666666667,NA,3.13333333333333,NA,14.25,NA,3.05,NA,19.9,NA,5,NA
"117","20170427",13.6125,NA,3.3875,NA,12.8,NA,3.1,NA,19.4,NA,5.9,NA
"118","20170428",14.3208333333333,NA,2.89583333333333,NA,13.35,NA,2.55,NA,20.9,NA,5.3,NA
"119","20170429",16.6291666666667,NA,2.74166666666667,NA,17.35,NA,2.5,NA,23.5,NA,6,NA
"120","20170430",19.4708333333333,NA,2.60416666666667,NA,17.95,NA,2.8,NA,27.4,NA,4.3,NA
"121","20170501",19.9541666666667,NA,1.88333333333333,NA,19.85,NA,1.8,NA,28.1,NA,4.2,NA
"122","20170502",20.5375,NA,2.0875,NA,19.6,NA,2.15,NA,27.7,NA,4.4,NA
"123","20170503",21.4583333333333,NA,2.2125,NA,20.1,NA,1.85,NA,30,NA,7,NA
"124","20170504",20.8708333333333,NA,2.05833333333333,NA,21.1,NA,1.75,NA,26.7,NA,4.9,NA
"125","20170505",21.1791666666667,NA,3.1875,NA,19.75,NA,2.9,NA,26.6,NA,6.4,NA
"126","20170506",15.0458333333333,NA,3.85,NA,15.05,NA,3.65,NA,19.2,NA,7.1,NA
"127","20170507",16.4125,NA,3.22083333333333,NA,15.8,NA,2.55,NA,22.5,NA,5.7,NA
"128","20170508",17.5166666666667,NA,2.15833333333333,NA,18.15,NA,2.05,NA,23.3,NA,4.3,NA
"129","20170509",17.2291666666667,0.25,1.50833333333333,NA,16.6,0,1.35,NA,22.5,NA,3.2,NA
"130","20170510",16.5958333333333,0.357142857142857,2.25833333333333,NA,15.45,0.5,2.35,NA,20.7,NA,4.3,NA
"131","20170511",18.8583333333333,0,1.79583333333333,NA,19.5,0,1.8,NA,24.8,NA,3.3,NA
"132","20170512",19.3875,NA,2.12916666666667,NA,19.45,NA,2.35,NA,21,NA,3.8,NA
"133","20170513",16.8166666666667,3,3.13333333333333,NA,15.95,3,2.95,NA,22.6,NA,8,NA
"134","20170514",15.575,NA,3.85,NA,15.35,NA,3.65,NA,20.5,NA,6,NA
"135","20170515",15.8583333333333,0,2.75833333333333,NA,16.4,0,2.85,NA,19.6,NA,4.2,NA
"136","20170516",17.0583333333333,NA,1.9,NA,16.25,NA,1.7,NA,21.8,NA,3.9,NA
"137","20170517",18.6125,NA,2.04583333333333,NA,17.95,NA,2.15,NA,25.7,NA,4.4,NA
"138","20170518",20.2208333333333,NA,2.24166666666667,NA,20.35,NA,2.4,NA,26.8,NA,4.5,NA
"139","20170519",21.0875,NA,2.65416666666667,NA,20.2,NA,2.45,NA,27.5,NA,5,NA
"140","20170520",20.825,NA,2.40833333333333,NA,20.45,NA,2.5,NA,26.8,NA,4.7,NA
"141","20170521",21.3166666666667,NA,2.21666666666667,NA,20.5,NA,2.35,NA,27.5,NA,3.8,NA
"142","20170522",21.7333333333333,NA,2.13333333333333,NA,20.7,NA,2,NA,28,NA,4.7,NA
"143","20170523",20.0083333333333,1.125,1.90416666666667,NA,18.6,1,1.3,NA,24,NA,4.4,NA
"144","20170524",21.675,0.2,2.0625,NA,21.15,0.1,2.05,NA,27.6,NA,3.7,NA
"145","20170525",19.65,NA,3.27916666666667,NA,18.8,NA,3.45,NA,24.2,NA,6,NA
"146","20170526",17.5708333333333,NA,2.95416666666667,NA,18.05,NA,2.9,NA,23.1,NA,4.8,NA
"147","20170527",19.5208333333333,NA,2.19583333333333,NA,18.95,NA,2,NA,26.1,NA,4.4,NA
"148","20170528",20.9,NA,2.74166666666667,NA,20.9,NA,2.4,NA,27.5,NA,5.2,NA
"149","20170529",22.7708333333333,NA,2.25416666666667,NA,21.6,NA,2.1,NA,29,NA,5.1,NA
"150","20170530",23.6458333333333,NA,2.4375,NA,22.95,NA,2.15,NA,29.8,NA,4.8,NA
"151","20170531",23.1625,NA,1.91666666666667,NA,23.05,NA,1.85,NA,29.4,NA,4.1,NA
"152","20170601",23.375,NA,3.17083333333333,NA,23,NA,3.25,NA,26.9,NA,5.7,NA
"153","20170602",20.5958333333333,0,3.00833333333333,NA,19.95,0,3.25,NA,25.4,NA,4.5,NA
"154","20170603",20.5666666666667,NA,3.13333333333333,NA,19.55,NA,2.95,NA,26.4,NA,5.9,NA
"155","20170604",21.6333333333333,NA,2.64583333333333,NA,21.45,NA,3.05,NA,27.8,NA,5.2,NA
"156","20170605",23.8916666666667,0,1.93333333333333,NA,24.4,0,1.95,NA,30.1,NA,3.3,NA
"157","20170606",20.0458333333333,1.125,2.4375,NA,20.75,0.5,2.5,NA,23.9,NA,3.7,NA
"158","20170607",17.5291666666667,0.805555555555556,2.25416666666667,NA,17.9,0.5,2.4,NA,19.1,NA,3.9,NA
"159","20170608",19.9041666666667,NA,3.0375,NA,19.95,NA,2.9,NA,25.5,NA,5.2,NA
"160","20170609",20.9625,0.0166666666666667,3.27083333333333,NA,20.75,0,3.4,NA,25.4,NA,5.2,NA
"161","20170610",21.6,0.9,2.3625,NA,20.5,0.5,2.4,NA,27.3,NA,3.5,NA
"162","20170611",22.5833333333333,NA,2.22916666666667,NA,23.25,NA,2.55,NA,29.2,NA,4.3,NA
"163","20170612",22.2458333333333,NA,2.8875,NA,21.15,NA,3.05,NA,27.8,NA,4.3,NA
"164","20170613",21.4708333333333,0,2.55,NA,20.4,0,2.4,NA,25.4,NA,4.8,NA
"165","20170614",21.8041666666667,NA,2.72916666666667,NA,21.15,NA,2.85,NA,26.8,NA,4.6,NA
"166","20170615",22.9375,NA,2.5,NA,22.35,NA,2.55,NA,29.4,NA,4.4,NA
"167","20170616",25.3458333333333,NA,2.0875,NA,24.7,NA,2.05,NA,32.6,NA,3.9,NA
"168","20170617",24.2875,NA,2.44583333333333,NA,23.05,NA,2.35,NA,29.6,NA,4.7,NA
"169","20170618",24.2708333333333,NA,2.29166666666667,NA,23.55,NA,2.3,NA,31.5,NA,4.3,NA
"170","20170619",24.6875,NA,1.74166666666667,NA,24.6,NA,1.6,NA,30,NA,3.5,NA
"171","20170620",25.775,0,2.04166666666667,NA,25.9,0,2.1,NA,32.2,NA,4,NA
"172","20170621",25.625,0,2.775,NA,24.4,0,2.4,NA,31.5,NA,5.4,NA
"173","20170622",25.2,NA,2.43333333333333,NA,24.5,NA,2.05,NA,30.1,NA,4.5,NA
"174","20170623",26.7875,NA,2.04583333333333,NA,26.25,NA,1.5,NA,33.8,NA,5.4,NA
"175","20170624",24.7416666666667,0.111111111111111,1.32916666666667,NA,24.3,0,1.1,NA,27.7,NA,4.3,NA
"176","20170625",23.6625,0.571428571428571,1.57083333333333,NA,23.2,0.1,1.8,NA,28.2,NA,3.6,NA
"177","20170626",23.1208333333333,2.63636363636364,2.175,NA,22,1,2.1,NA,29.7,NA,3.5,NA
"178","20170627",24.975,0,2.14166666666667,NA,24.85,0,1.95,NA,30,NA,3.9,NA
"179","20170628",25.8666666666667,NA,2.19583333333333,NA,25.35,NA,2.15,NA,30.5,NA,3.9,NA
"180","20170629",26.1958333333333,NA,2.2125,NA,25.35,NA,2,NA,31.3,NA,4.1,NA
"181","20170630",25.8708333333333,NA,2.32083333333333,NA,25.35,NA,2.2,NA,30.7,NA,3.7,NA
"182","20170701",25.1666666666667,0.1,1.89583333333333,NA,24.15,0,1.75,NA,30.4,NA,4.1,NA
"183","20170702",24.7125,2.14583333333333,2.55416666666667,NA,24.5,0,2.7,NA,26.6,21.5,4.3,NA
"184","20170703",24.425,8.30769230769231,3.575,NA,24.45,1,3.35,NA,27.2,NA,6,NA
"185","20170704",26.6958333333333,0.0833333333333333,2.08333333333333,NA,25.85,0,1.8,NA,31.1,NA,4.7,NA
"186","20170705",27.275,NA,1.6875,NA,27.05,NA,1.45,NA,32.5,NA,4,NA
"187","20170706",27.725,8.5,1.7625,NA,26,5.25,1.5,NA,34,NA,5.1,NA
"188","20170707",26.325,1.03125,1.8375,NA,26.1,0,1.8,NA,28.2,NA,3.7,NA
"189","20170708",25.9666666666667,0.321428571428571,2.67083333333333,NA,25.9,0,2.8,NA,27.5,NA,3.9,NA
"190","20170709",26.425,1.63333333333333,1.14166666666667,NA,26.05,0,1,NA,30,NA,2.9,NA
"191","20170710",24.1166666666667,6.35416666666667,2.42916666666667,NA,23.95,2.5,2.15,NA,25.4,25,5.8,NA
"192","20170711",25.7541666666667,0.166666666666667,2.0375,NA,25.95,0,1.9,NA,30.5,NA,4.1,NA
"193","20170712",27.2375,0,2.175,NA,26.4,0,2.2,NA,30.9,NA,3.7,NA
"194","20170713",27.425,NA,1.4,NA,27.35,NA,1.35,NA,32,NA,3.4,NA
"195","20170714",28.6416666666667,0,2.125,NA,28.05,0,1.95,NA,32.7,NA,4.8,NA
"196","20170715",25.1833333333333,2.125,2.3125,NA,25.05,0.25,2.4,NA,27.3,NA,4,NA
"197","20170716",25.9875,2.25,1.50833333333333,NA,26.45,0.5,1.5,NA,28.7,NA,2.8,NA
"198","20170717",26.9416666666667,2.16666666666667,2.02083333333333,NA,26.5,0,1.9,NA,29,NA,3.7,NA
"199","20170718",26.4166666666667,0.318181818181818,1.52916666666667,NA,25.8,0.2,1.6,NA,30.3,NA,3.5,NA
"200","20170719",28.1791666666667,NA,1.7875,NA,28.2,NA,1.65,NA,33.6,NA,3.8,NA
"201","20170720",29.7583333333333,NA,2.1,NA,29.7,NA,2.25,NA,34.9,NA,3.6,NA
"202","20170721",29.7583333333333,NA,2.48333333333333,NA,29.75,NA,2.55,NA,32.2,NA,3.4,NA
"203","20170722",29.425,0.0625,2.22083333333333,NA,29.05,0,2.25,NA,32.2,NA,3.6,NA
"204","20170723",27.0791666666667,12.1363636363636,2.12916666666667,NA,27,0.5,2.25,NA,28.1,NA,3.5,NA
"205","20170724",26.3,0.5,1.26666666666667,NA,26.3,0.25,1.2,NA,27.3,NA,2.3,NA
"206","20170725",29.2875,NA,1.80416666666667,NA,29.15,NA,1.55,NA,34.9,NA,4.2,NA
"207","20170726",28.6083333333333,NA,2.725,NA,28.85,NA,2.7,NA,32.7,NA,3.8,NA
"208","20170727",27.3291666666667,0.1,1.95,NA,27.6,0,2.05,NA,29.6,NA,2.9,NA
"209","20170728",25.45,0.766666666666667,1.5,NA,25.4,0.5,1.5,NA,26.6,NA,2.5,NA
"210","20170729",27.0958333333333,0,2.29166666666667,NA,26.9,0,2.3,NA,29.9,NA,3.9,NA
"211","20170730",27.8083333333333,NA,1.88333333333333,NA,27.75,NA,1.85,NA,32.4,NA,3.2,NA
"212","20170731",25.9166666666667,0.318181818181818,1.4,NA,26,0,1.2,NA,27.1,NA,3.2,NA
"213","20170801",28.2416666666667,0.5,1.6,NA,28.7,0.5,1.65,NA,32.8,NA,3,NA
"214","20170802",30,NA,1.25,NA,30.5,NA,1.2,NA,32.9,NA,2.4,NA
"215","20170803",30.1083333333333,NA,2.30833333333333,NA,29.45,NA,2.4,NA,33.7,NA,4.3,NA
"216","20170804",30.2208333333333,NA,1.9375,NA,29.95,NA,1.9,NA,35,NA,4.1,NA
"217","20170805",31.3333333333333,0,1.79583333333333,NA,31.6,0,1.6,NA,34.5,NA,4.1,NA
"218","20170806",30.0083333333333,1.66666666666667,1.77083333333333,NA,29.6,0,1.8,NA,33.5,NA,2.8,NA
"219","20170807",29.2041666666667,NA,2.45833333333333,NA,28.05,NA,2.3,NA,34,NA,4.5,NA
"220","20170808",28.1291666666667,NA,1.92916666666667,NA,27.9,NA,1.55,NA,30.8,NA,4.2,NA
"221","20170809",27.9416666666667,0.1,2.34166666666667,NA,27.45,0,2.45,NA,31.9,NA,3.9,NA
"222","20170810",24.8416666666667,0.3125,2.07083333333333,NA,24.65,0,2,NA,26,2,3.4,NA
"223","20170811",26.8916666666667,0.125,2.42916666666667,NA,26.6,0,2.35,NA,32.2,NA,3.7,NA
"224","20170812",27.6666666666667,NA,2.07083333333333,NA,27.85,NA,2.15,NA,32.2,NA,2.8,NA
"225","20170813",26.3958333333333,0,2.71666666666667,NA,26.3,0,2.7,NA,28.4,NA,4.6,NA
"226","20170814",24.6291666666667,0.107142857142857,3.775,NA,24.3,0,3.75,NA,26.9,NA,5.3,NA
