"","date","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"511",20180721,40,27,3,5,1
"512",20180722,31,20,3,3,0
"513",20180723,33,20,3,3,0
"514",20180724,43,28,4,5,1
"515",20180725,33,21,3,4,0
"516",20180726,42.5,27,4,5,1
"517",20180727,48,32.5,4,5,1
"518",20180728,40,26,3,5,1
"519",20180729,20,13,2,2,0
"520",20180730,12,6,1,1,0
"521",20180731,19,10,2,2,0
"522",20180801,33.5,20,3,3,0
"523",20180802,33,20,3,3,0
"524",20180803,46,32,4,5,1
"525",20180804,28,18,2,3,0
"526",20180805,27,16.5,2,3,0
"527",20180806,32,20,3,3,0
"528",20180807,21,12,2,2,0
"529",20180808,28,17,2,3,0
"530",20180809,25,17,2,3,0
"531",20180810,17,10,2,2,0
"532",20180811,11,6,1,1,0
"533",20180812,16,10,2,2,0
"534",20180813,33,22,3,4,0
"535",20180814,29,18,2,3,0
"536",20180815,30,20,2,3,0
"537",20180816,18,8,2,1,0
"538",20180817,14,6,1,1,0
"539",20180818,17,7,2,1,0
"540",20180819,25,12,2,2,0
"541",20180820,37,22,3,4,0
"542",20180821,23,13,2,2,0
"543",20180822,26,14,2,2,0
"544",20180823,14,6,1,1,0
"545",20180824,10,4,1,1,0
"546",20180825,25,12,2,2,0
"547",20180826,19,10,2,2,0
"548",20180827,11,5,1,1,0
"549",20180828,12,6,1,1,0
"550",20180829,15,7,1,1,0
"551",20180830,28,18,2,3,0
"552",20180831,26,14,2,2,0
"553",20180901,20,9,2,2,0
"554",20180902,14,6,1,1,0
"555",20180903,16,8,2,1,0
"556",20180904,19,8,2,1,0
"557",20180905,29,10,2,2,0
"558",20180906,37,18,3,3,0
"559",20180907,27,13,2,2,0
"560",20180908,26,11,2,2,0
"561",20180909,23,10.5,2,2,0
"562",20180910,13,5,1,1,0
"563",20180911,14.5,6,1,1,0
"564",20180912,17,7,2,1,0
"565",20180913,19,9,2,2,0
"566",20180914,20,10,2,2,0
"567",20180915,14,7,1,1,0
"568",20180916,38,24.5,3,4,0
"569",20180917,30,15,2,2,0
"570",20180918,39.5,17,3,3,0
"571",20180919,42.5,20.5,4,3,0
"572",20180920,16,9,2,2,0
"573",20180921,9.5,4,1,1,0
"574",20180922,31.5,11,3,2,0
"575",20180923,30.5,10,2,2,0
"576",20180924,15,6,1,1,0
"577",20180925,14.5,7,1,1,0
"578",20180926,8,5,1,1,0
"579",20180927,9,5,1,1,0
"580",20180928,14,7,1,1,0
"581",20180929,17,8,2,1,0
"582",20180930,22,11,2,2,0
"583",20181001,17.5,8,2,1,0
