"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1746","20180210",1108068010002,75,12.8152866242038,31.4175475687103,-270.155240108728,-348.253003854001,-464.454712874602,-93.795375356351,-26.8040973111396,-82,-266,-82,-504,-170,-271,46,-11
"1747","20180210",1109071040006,-63,-183.930012040939,-375.929965209499,-355.551625526791,-216.890728476821,-90.1937086092715,-308.309452137267,-148.230514096186,-256,-266,-216,-42,-43,-11,9,47
"1748","20180210",1111066030001,447.5,232.793196869356,-159.280102347983,-119.776339554485,-415.048013245033,-94.7904876580373,-124.309753160747,-200.612883804937,384.5,-110,55,2,-194,213,-24,25
"1749","20180210",1113075030009,210,-569.228025285972,109.87522576761,-258.298765803733,-178.611679711018,-179.26745936183,-353.684411226358,-136.782811559302,-525,143,97.5,-59.5,-202.5,-384,-224,-326
"1750","20180210",1115051010002,-88,-199.072268907563,NA,-362.429166666667,72.1495584988962,29.1059602649007,13.4751655629139,101.533112582781,NA,-416,-298,10,163,86,325,385
"1751","20180210",1117051030002,77,-324.206208425721,-411.862116144725,-323.668573148706,-275.467084639498,-277.488511488512,-118.912447552448,-162.832442067736,-37,-486,-413,-693,-146,-35,46,49
"1752","20180210",1119074050006,-167,-296.287627934979,-548.711017459362,-642.366646598435,-547.538982540638,-532.880644190247,-396.537928958459,-521.190848886213,-25,14,-114,-201,-118,-121,-134,-200
"1753","20180210",1121052010001,504,-169.883406556269,-381.643271621995,-568.786085709163,-284.441972920696,-364.873132438592,8.60403329065301,16.8383954154727,-218,-514,-344,-250,-106,-4,65,-5
"1754","20180210",1122060020102,30,-101.008729680915,-250.862733293197,-376.931216134858,-395.804635761589,-493.139825406382,-255.89238410596,-137.516556291391,1,1,-120,-260,-242,-155,-110,-109.5
"1755","20180210",1123051010203,85,-484.856299212598,-371.356313131313,-403.034519725558,-388.089319923372,42.3971807628524,-71.465,-70.8233995584989,-635,-812,-720,-220,311,40.5,-169,-83
"1756","20180210",1123058040001,-21,-185.559753160747,-314.421131848284,-225.959361830223,-200.195213726671,-99.778597230584,-60.1137868753763,-29.5323600240819,-38,-336,-159,-38,-27,20,43,62
"1757","20180210",1123063020012,189.5,166.554635761589,194.912015137181,-14.7955298013245,122.970198675497,-117.235099337748,81.3646063281825,99.8789025543992,-268,406.5,248,400,-165,-226.5,-99,366
"1758","20180210",1124077030001,832,1628.98329319687,1178.78943407586,1015.1395243829,391.972155328116,266.986303431668,-73.3076459963877,-19.5281456953642,1739,2540,2125,982,423,629,192,416
"1759","20180210",1124080020103,387,301.336393738712,255.312913907285,543.626279349789,422.237808549067,267.812311860325,2.73464780252857,118.67880794702,493.5,1020,1113,1296,776,651,657,726.5
"1760","20180210",1125073030007,392,71.6095725466587,24.0245334136062,-157.009030704395,-242.921884406984,-255.787928958459,69.4211318482842,-190.550722456352,125.5,92,70,107,-121,-310,-253,-259
"1761","20180211",1102052020001,165,733.455448524985,518.948223961469,440.734497290789,295.592263696568,128.344972907887,-91.5255869957857,-104.0365743528,-72,296,450.5,12,-94,47,161.5,-45
"1762","20180211",1108068010002,112,67.0880138969311,-48.2188160676533,-239.882512836001,-421.616640217638,-264.000167420057,-43.6135571745328,-92.258642765685,-35,-215,-133,-512,-399,-473,11,13
