"","date","time","gungu","whole_pop"
"321",20190303,11,"용산구",213380
"322",20190303,11,"은평구",326740
"323",20190303,11,"종로구",199080
"324",20190303,11,"중구",184130
"325",20190303,11,"중랑구",289080
"326",20190303,12,"강남구",523100
"327",20190303,12,"강동구",319860
"328",20190303,12,"강북구",235470
"329",20190303,12,"강서구",427170
"330",20190303,12,"관악구",388380
"331",20190303,12,"광진구",282350
"332",20190303,12,"구로구",341440
"333",20190303,12,"금천구",192640
"334",20190303,12,"노원구",393380
"335",20190303,12,"도봉구",237620
"336",20190303,12,"동대문구",287760
"337",20190303,12,"동작구",294300
"338",20190303,12,"마포구",320360
"339",20190303,12,"서대문구",239000
"340",20190303,12,"서초구",397530
"341",20190303,12,"성동구",225690
"342",20190303,12,"성북구",318580
"343",20190303,12,"송파구",496580
"344",20190303,12,"양천구",317190
"345",20190303,12,"영등포구",375470
"346",20190303,12,"용산구",216590
"347",20190303,12,"은평구",322600
"348",20190303,12,"종로구",216040
"349",20190303,12,"중구",196730
"350",20190303,12,"중랑구",284850
"351",20190303,13,"강남구",529500
"352",20190303,13,"강동구",316370
"353",20190303,13,"강북구",233770
"354",20190303,13,"강서구",427370
"355",20190303,13,"관악구",383920
"356",20190303,13,"광진구",283070
"357",20190303,13,"구로구",338340
"358",20190303,13,"금천구",195210
"359",20190303,13,"노원구",393030
"360",20190303,13,"도봉구",234890
"361",20190303,13,"동대문구",289620
"362",20190303,13,"동작구",290050
"363",20190303,13,"마포구",329390
"364",20190303,13,"서대문구",239020
"365",20190303,13,"서초구",405070
"366",20190303,13,"성동구",225440
"367",20190303,13,"성북구",313650
"368",20190303,13,"송파구",503460
"369",20190303,13,"양천구",312920
"370",20190303,13,"영등포구",377840
"371",20190303,13,"용산구",220810
"372",20190303,13,"은평구",318030
"373",20190303,13,"종로구",228970
"374",20190303,13,"중구",205020
"375",20190303,13,"중랑구",281450
"376",20190303,14,"강남구",530360
"377",20190303,14,"강동구",316600
"378",20190303,14,"강북구",233460
"379",20190303,14,"강서구",426530
"380",20190303,14,"관악구",380070
"381",20190303,14,"광진구",284040
"382",20190303,14,"구로구",337520
"383",20190303,14,"금천구",199120
"384",20190303,14,"노원구",392870
"385",20190303,14,"도봉구",233030
"386",20190303,14,"동대문구",290810
"387",20190303,14,"동작구",290770
"388",20190303,14,"마포구",333860
"389",20190303,14,"서대문구",239380
"390",20190303,14,"서초구",408910
"391",20190303,14,"성동구",227840
"392",20190303,14,"성북구",311110
"393",20190303,14,"송파구",511250
"394",20190303,14,"양천구",311930
"395",20190303,14,"영등포구",380690
"396",20190303,14,"용산구",224150
"397",20190303,14,"은평구",316820
"398",20190303,14,"종로구",235860
"399",20190303,14,"중구",206620
"400",20190303,14,"중랑구",280510
"401",20190303,15,"강남구",526750
"402",20190303,15,"강동구",317710
"403",20190303,15,"강북구",235190
"404",20190303,15,"강서구",428690
"405",20190303,15,"관악구",380740
"406",20190303,15,"광진구",287040
"407",20190303,15,"구로구",337650
"408",20190303,15,"금천구",201300
"409",20190303,15,"노원구",395940
"410",20190303,15,"도봉구",232970
"411",20190303,15,"동대문구",290940
"412",20190303,15,"동작구",294110
"413",20190303,15,"마포구",338400
"414",20190303,15,"서대문구",240890
"415",20190303,15,"서초구",405510
"416",20190303,15,"성동구",229810
"417",20190303,15,"성북구",312850
"418",20190303,15,"송파구",514390
"419",20190303,15,"양천구",314500
"420",20190303,15,"영등포구",378220
"421",20190303,15,"용산구",224760
"422",20190303,15,"은평구",318300
"423",20190303,15,"종로구",233350
"424",20190303,15,"중구",203340
"425",20190303,15,"중랑구",283320
"426",20190303,16,"강남구",516500
"427",20190303,16,"강동구",320130
"428",20190303,16,"강북구",237570
"429",20190303,16,"강서구",432370
"430",20190303,16,"관악구",386220
"431",20190303,16,"광진구",290370
"432",20190303,16,"구로구",338510
"433",20190303,16,"금천구",202300
"434",20190303,16,"노원구",401150
"435",20190303,16,"도봉구",235380
"436",20190303,16,"동대문구",289420
"437",20190303,16,"동작구",297250
"438",20190303,16,"마포구",340960
