2019년 집계구코드,도로명 주소
1101064020002 ,서울특별시 종로구 대학로5가길 3-8
1101064020003 ,서울특별시 종로구 대학로5길 52-6
1101064020004 ,서울특별시 종로구 대학로 101
1101064020005 ,서울특별시 종로구 율곡로13가길 21
1101067010001 ,서울특별시 종로구 종로 313-17
1101067010002 ,서울특별시 종로구 창신5길 54-9
1101067010003 ,서울특별시 종로구 종로 359
1101067010004 ,서울특별시 종로구 지봉로 73
1101067010005 ,서울특별시 종로구 창신5라길 5
1101067010101 ,서울특별시 종로구 지봉로5길 7
1101067010102 ,서울특별시 종로구 지봉로5길 7
1101067020001 ,서울특별시 종로구 종로46가길 17
1101067020002 ,서울특별시 종로구 종로52길 50-8
1101068010001 ,서울특별시 종로구 창신7길 14-9
1101068010002 ,서울특별시 종로구 낙산성곽동길 41-1
1101068010003 ,서울특별시 종로구 낙산성곽동길 16
1101068010004 ,서울특별시 종로구 낙산성곽동길 63-15
1101068010005 ,서울특별시 종로구 창신길 78
1101068010006 ,서울특별시 종로구 창신12길 27-7
1101068010007 ,서울특별시 종로구 창신10길 21
1101068010008 ,서울특별시 종로구 창신5다길 15-3
1101068010009 ,서울특별시 종로구 창신6다길 16
1101068010010 ,서울특별시 종로구 낙산성곽동길 30
1101068010011 ,서울특별시 종로구 창신길 54
1101068010012 ,서울특별시 종로구 창신2길 12-6
1101068010013 ,서울특별시 종로구 창신길 191-20
1101068010014 ,서울특별시 종로구 창신11길 48
1101068010015 ,서울특별시 종로구 창신길 15
1101068010016 ,서울특별시 종로구 창신6길 51-9
1101068010017 ,서울특별시 종로구 창신길 126-1
1101068010601 ,서울특별시 종로구 창신길 140-15
1101069010001 ,서울특별시 종로구 지봉로13길 20-2
1101069010002 ,서울특별시 종로구 지봉로11길 34-4
1101069010003 ,서울특별시 종로구 창신6가길 47
1101069010004 ,서울특별시 종로구 지봉로13길 46
1101069010005 ,서울특별시 종로구 지봉로13가길 59-5
1101069010006 ,서울특별시 종로구 지봉로 81
1101069010201 ,서울특별시 종로구 지봉로 87
1101069010301 ,서울특별시 종로구 낙산길 198
1101069010302 ,서울특별시 종로구 낙산길 198
1101069010303 ,서울특별시 종로구 낙산길 198
1101069010304 ,서울특별시 종로구 낙산길 198
1101069010305 ,서울특별시 종로구 낙산길 198
1101069010306 ,서울특별시 종로구 낙산길 198
1101069010401 ,서울특별시 종로구 동망산길 19
1101069010402 ,서울특별시 종로구 동망산길 19
1101069010403 ,서울특별시 종로구 낙산길 250
1101070010001 ,서울특별시 종로구 지봉로8길 18-4
1101070010002 ,서울특별시 종로구 지봉로12길 22
1101070010003 ,서울특별시 종로구 동망산길 65
1101070010004 ,서울특별시 종로구 종로63가길 31
1101070010005 ,서울특별시 종로구 종로63다길 21
1101070010006 ,서울특별시 종로구 지봉로12길 80
1101070010007 ,서울특별시 종로구 지봉로14길 8-4
1101070010008 ,서울특별시 종로구 지봉로10길 6-3
1101070010101 ,서울특별시 종로구 종로 347
1101070010201 ,서울특별시 종로구 동망산길 47
1101070010202 ,서울특별시 종로구 동망산길 47
1101071010001 ,서울특별시 종로구 보문로9길 23
1101071010002 ,서울특별시 종로구 숭인동1가길 25
1101071010003 ,서울특별시 종로구 숭인동2길 29-12
1101071010004 ,서울특별시 종로구 숭인동1가길 1-2
1101071010005 ,서울특별시 종로구 종로65길 41
1101071010006 ,서울특별시 종로구 숭인동1길 44
1101071010007 ,서울특별시 종로구 보문로1길 16
1101071010008 ,서울특별시 종로구 종로65길 19
1101071010009 ,서울특별시 종로구 종로67길 9
1101071010010 ,서울특별시 종로구 숭인동2길 46
1101071010401 ,서울특별시 종로구 숭인동길 21
1101071010402 ,서울특별시 종로구 숭인동길 21
1101071020001 ,서울특별시 종로구 종로 386
1101071020002 ,서울특별시 종로구 종로66길 43
1101071020003 ,서울특별시 종로구 종로58가길 27
1101071020004 ,서울특별시 종로구 청계천로 387-3
1101071020005 ,서울특별시 종로구 종로58길 30
1101071020006 ,서울특별시 종로구 난계로 247
1101072010001 ,서울특별시 종로구 옥인4길 13
1101072010002 ,서울특별시 종로구 필운대로9길 16
1101072010003 ,서울특별시 종로구 자하문로33길 78
1101072010004 ,서울특별시 종로구 필운대로 97
1101072010005 ,서울특별시 종로구 옥인길 11
1101072010006 ,서울특별시 종로구 자하문로35길 21
1101072010007 ,서울특별시 종로구 옥인길 89
1101072010008 ,서울특별시 종로구 필운대로 36
1101072010009 ,서울특별시 종로구 자하문로 67-7
1101072010010 ,서울특별시 종로구 옥인6가길 58
1101072010011 ,서울특별시 종로구 자하문로33길 22-2
1101072010012 ,서울특별시 종로구 필운대로5나길 13
1101072010013 ,서울특별시 종로구 필운대로5다길 9-2
1101072010014 ,서울특별시 종로구 필운대로11길 8
1101072010015 ,서울특별시 종로구 자하문로17길 38
1101072010016 ,서울특별시 종로구 옥인6길 27-7
1101072010017 ,서울특별시 종로구 자하문로11길 12
1101072010018 ,서울특별시 종로구 필운대로9가길 57
1101072010019 ,서울특별시 종로구 옥인3길 5-6
1101072010301 ,서울특별시 종로구 필운대로 68
1101072020001 ,서울특별시 종로구 효자로 97
1101072020002 ,서울특별시 종로구 자하문로 136
1101072020003 ,서울특별시 종로구 효자로9길 56-3
1101072020004 ,서울특별시 종로구 자하문로28가길 9
1101072020005 ,서울특별시 종로구 창의문로 12
1101073010001 ,서울특별시 종로구 혜화로9길 24-16
1101073010002 ,서울특별시 종로구 혜화로6길 10
1101073010003 ,서울특별시 종로구 혜화로16길 34
1101073010004 ,서울특별시 종로구 성균관로 62-13
1101073010005 ,서울특별시 종로구 창경궁로35길 29
1101073010006 ,서울특별시 종로구 혜화로11가길 4
1101073010007 ,서울특별시 종로구 창경궁로33길 45-15
1101073010008 ,서울특별시 종로구 창경궁로35나길 34
1101073010009 ,서울특별시 종로구 창경궁로31길 22
1101073010010 ,서울특별시 종로구 성균관로10길 18
1101073010011 ,서울특별시 종로구 혜화로6가길 11
1101073010012 ,서울특별시 종로구 혜화로12길 7
1101073010013 ,서울특별시 종로구 혜화로5길 29
1101073010014 ,서울특별시 종로구 혜화로3길 5
1101073010015 ,서울특별시 종로구 혜화로 22
1101073010016 ,서울특별시 종로구 혜화로9길 58-11
1101073010101 ,서울특별시 종로구 혜화로3길 6
1101073010102 ,서울특별시 종로구 창경궁로 265
1101073020001 ,서울특별시 종로구 성균관로15길 44
1101073020002 ,서울특별시 종로구 성균관로7길 34
1101073020003 ,서울특별시 종로구 명륜4가길 42
1101073020004 ,서울특별시 종로구 성균관로17길 45
1101073020005 ,서울특별시 종로구 명륜3길 4
1101073020006 ,서울특별시 종로구 성균관로3길 15
1101073020007 ,서울특별시 종로구 성균관로 25-2
1101073020008 ,서울특별시 종로구 창경궁로27길 67-15
1101073020009 ,서울특별시 종로구 명륜10길 20
1101073020010 ,서울특별시 종로구 성균관로15길 10
1101073020011 ,서울특별시 종로구 성균관로13길 19
1101073020012 ,서울특별시 종로구 성균관로 25-1
1101073020013 ,서울특별시 종로구 명륜4나길 7
1101073020014 ,서울특별시 종로구 명륜2길 36-2
1101073020015 ,서울특별시 종로구 혜화로 63
1101073020016 ,서울특별시 종로구 성균관로13길 40
1101073030001 ,서울특별시 종로구 대학로 156
1101073040001 ,서울특별시 종로구 대명길 25
1101073040002 ,서울특별시 종로구 창경궁로26길 38-9
1102052010001 ,서울특별시 중구 세종대로21길 65
1102052010002 ,서울특별시 중구 덕수궁길 140
1102052010301 ,서울특별시 중구 서소문로9길 28
1102052020001 ,서울특별시 중구 소공로 99-1
1102052030001 ,서울특별시 중구 세종대로9길 42
1102054010001 ,서울특별시 중구 남대문시장8길 16
1102054020001 ,서울특별시 중구 세종대로5길 32
1102054030001 ,서울특별시 중구 퇴계로 33
1102054040001 ,서울특별시 중구 세종대로2가길 23
1102054050001 ,서울특별시 중구 퇴계로10길 20-8
1102054050002 ,서울특별시 중구 퇴계로6가길 30
1102054050003 ,서울특별시 중구 소공로3길 29-8
1102054050004 ,서울특별시 중구 퇴계로8길 73
1102054050101 ,서울특별시 중구 소공로 35
1102054050102 ,서울특별시 중구 소공로 35
1102054050201 ,서울특별시 중구 퇴계로 72
1102054050701 ,서울특별시 중구 퇴계로8길 101
1102054060001 ,서울특별시 중구 퇴계로 6
1102054070001 ,서울특별시 중구 소파로 46
1102055010001 ,서울특별시 중구 무교로 20
1102055030001 ,서울특별시 중구 수표로 67
1102055040001 ,서울특별시 중구 명동길 61
1102055050001 ,서울특별시 중구 소공로6가길 26
1102055050002 ,서울특별시 중구 퇴계로20길 18
1102055050101 ,서울특별시 중구 소공로 46
1102057010001 ,서울특별시 중구 소파로2길 10
1102057020001 ,서울특별시 중구 퇴계로34길 28
1102057020002 ,서울특별시 중구 퇴계로 176
1102057020003 ,서울특별시 중구 필동로6길 33
1102057020004 ,서울특별시 중구 서애로1길 17
1102057020005 ,서울특별시 중구 서애로3길 20
1102057020006 ,서울특별시 중구 필동로1길 30
1102057020007 ,서울특별시 중구 필동로8길 50-9
1102057020008 ,서울특별시 중구 필동로5길 35
1102057020009 ,서울특별시 중구 서애로1길 34
1102058010001 ,서울특별시 중구 장충단로8가길 1
1102058010002 ,서울특별시 중구 동호로20가길 38
1102058010003 ,서울특별시 중구 장충단로6길 50
1102058020001 ,서울특별시 중구 동호로24길 27-17
1102058020002 ,서울특별시 중구 퇴계로56가길 7
1102058040001 ,서울특별시 중구 동호로27길 36
1102058040002 ,서울특별시 중구 동호로25길 55
1102058040003 ,서울특별시 중구 동호로25길 37-35
1102058040004 ,서울특별시 중구 장충단로 59
1102059010001 ,서울특별시 중구 장충단로 253
1102059020001 ,서울특별시 중구 마른내로 151-1
1102059030001 ,서울특별시 중구 퇴계로63길 12
1102059040001 ,서울특별시 중구 장충단로8가길 22-11
1102059040002 ,서울특별시 중구 퇴계로66길 10
1102059050001 ,서울특별시 중구 퇴계로54길 9-1
1102059060001 ,서울특별시 중구 마른내로12길 6
1102059070001 ,서울특별시 중구 퇴계로41길 40
1102059070101 ,서울특별시 중구 퇴계로 217
1102059070201 ,서울특별시 중구 퇴계로 235
1102060010001 ,서울특별시 중구 을지로39길 29
1102060020001 ,서울특별시 중구 을지로27가길 17-7
1102060030001 ,서울특별시 중구 을지로17길 21-10
1102060050001 ,서울특별시 중구 마른내로 28
1102060060001 ,서울특별시 중구 을지로20길 32-18
1102060070001 ,서울특별시 중구 을지로32길 5
1102065010001 ,서울특별시 중구 왕십리로39길 18-7
1102065010201 ,서울특별시 중구 왕십리로39길 30
1102065020001 ,서울특별시 중구 퇴계로84길 26
1102065020002 ,서울특별시 중구 다산로42가길 6
1102065020003 ,서울특별시 중구 퇴계로86길 47
1102065020004 ,서울특별시 중구 퇴계로 442-1
1102065020005 ,서울특별시 중구 퇴계로90길 17
1102065020006 ,서울특별시 중구 다산로42길 128
1102065020007 ,서울특별시 중구 퇴계로88가길 48-8
1102065020008 ,서울특별시 중구 다산로42길 96
1102065020009 ,서울특별시 중구 퇴계로90길 56-10
1102065020010 ,서울특별시 중구 퇴계로90길 71-12
1102065020501 ,서울특별시 중구 퇴계로90길 74
1102065020502 ,서울특별시 중구 퇴계로90길 74
1102065020503 ,서울특별시 중구 퇴계로90길 74
1102065020504 ,서울특별시 중구 퇴계로90길 74
1102065020505 ,서울특별시 중구 퇴계로90길 74
1102067010001 ,서울특별시 중구 난계로17길 20-19
1102067010002 ,서울특별시 중구 마장로9길 33-15
1102067010003 ,서울특별시 중구 난계로15길 60-7
1102067010004 ,서울특별시 중구 난계로23길 5
1102067010005 ,서울특별시 중구 난계로15길 45
1102067010006 ,서울특별시 중구 난계로17길 40-14
1102067010201 ,서울특별시 중구 청계천로 400
1102067010202 ,서울특별시 중구 청계천로 400
1102067010203 ,서울특별시 중구 청계천로 400
1102067010204 ,서울특별시 중구 청계천로 400
1102067010205 ,서울특별시 중구 청계천로 400
1102067010206 ,서울특별시 중구 청계천로 400
1102067020001 ,서울특별시 중구 마장로14길 14
1102067020002 ,서울특별시 중구 퇴계로83길 46-17
1102067020003 ,서울특별시 중구 마장로18길 42
1102067020004 ,서울특별시 중구 퇴계로87길 39-25
1102067020005 ,서울특별시 중구 퇴계로85길 56
1102067020006 ,서울특별시 중구 마장로16길 17
1102067020101 ,서울특별시 중구 퇴계로 447
1102067020201 ,서울특별시 중구 난계로11길 30
1102067020701 ,서울특별시 중구 난계로 171
1102068010001 ,서울특별시 중구 청파로 447-1
1102068010002 ,서울특별시 중구 청파로 456
1102068010301 ,서울특별시 중구 중림로 21
1102068010401 ,서울특별시 중구 청파로 464
1102068020001 ,서울특별시 중구 퇴계로 33
1102068020002 ,서울특별시 중구 만리재로21길 13
1102068020003 ,서울특별시 중구 서소문로2길 12-3
1102068020004 ,서울특별시 중구 만리재로 185
1102068020005 ,서울특별시 중구 손기정로 73
1102068020006 ,서울특별시 중구 중림로2길 6-1
1102068020007 ,서울특별시 중구 중림로8길 19
1102068020101 ,서울특별시 중구 중림로 10
1102068020102 ,서울특별시 중구 중림로 10
1102068020103 ,서울특별시 중구 중림로 10
1102068020104 ,서울특별시 중구 중림로 10
1102068020201 ,서울특별시 중구 중림로4길 41
1102068020202 ,서울특별시 중구 중림로4길 41
1102068020301 ,서울특별시 중구 만리재로33길 21
1102068020501 ,서울특별시 중구 만리재로 193
1102068020601 ,서울특별시 중구 만리재로 175
1102068020602 ,서울특별시 중구 만리재로 175
